job_title,cluster,cluster_v2
"Database Specialist, Level 4 with Security Clearance",1,19
Senior Applications Database Administrator,19,30
FT Medical Technologist/Medical Lab Technician (MT/MLT),20,35
Medical Technologist/ MLT - Full Time *Sign On*,20,33
Lead Software Engineer - Data Analytics,16,6
Data Architect Greenplum- REMOTE,29,23
Data Integration Lead,27,58
$2500 sign on bonus Medical Technologist/MLT FT Evenings Iuka,20,33
Data Governance Manager,23,38
Data Steward,10,39
"Long Term Contract: QA Lead (API Manual testing & Database testing) @ Rosemont, IL- Onsite",10,7
"Chief Data Architect, Personal Investor CDAO",29,31
VDOT DataStage Architect (720582),29,31
MLT/ Medical Technologist - Full Time - Evenings,20,33
Medical Technologist: MT/MLT/MLS/CLS/Bachelor of Science in Biology or Chemistry,20,11
Principal Dev Ops Engineer- Data Platform,13,18
Electrical Project Mgr. - Comm. Const. (Data Center Exp) (Relo Opp.),15,24
Data Privacy Incident Manager,23,52
"Medical Technologist (MT), Clinical Laboratory Scientist (CLS) or Medical Laboratory Technician (MLT)",11,43
Data Engineer Senior with Security Clearance,1,19
Data Architect Full-Time,29,31
FMLA School Nurse,10,39
"Senior Software Engineer, Data Acquisition",16,6
Medical Technologist / MLT - PRN - Paducah KY,20,33
"Sr Data Analyst (Alexanderia, VA) Public-Trust",5,59
Mission Data Engineer - Senior - SWW,6,34
Medical Laboratory Scientist (MLS),11,43
Lead Data Management Analyst (Big Data Engineer) (1022576),27,17
"Sr. Manager, IT Data Center Operations",2,32
Data Quality Analyst - (10+ years of Exp) - Full Time/ W2 contract,28,57
"Manager, Product Management, Card Data",7,44
DATA RESEARCH SPECIALIST,21,5
Specialist Solutions Architect - Data Warehousing & Data Governance,23,38
"Sr. Data Engineer, Cell Manufacturing Quality",28,57
Data Center Technician 4 with Lab Experience,15,2
SDA Data Systems Acquisition Program Manager,7,27
IT Project Manager Data Center Build NY 1529,15,24
Senior Project Manager - Data Center Construction,14,24
BSA/AML Compliance Investigator,10,39
